batch,batch_size,precision,recall,roc_auc
production_batch_0,500,0.7068965517241379,0.5857142857142857,0.8505753968253968
production_batch_1,500,0.6120689655172413,0.5338345864661654,0.8393292495544037
production_batch_2,500,0.6311475409836066,0.5746268656716418,0.8360655737704917
production_batch_3,500,0.7053571428571429,0.5486111111111112,0.86208645443196
production_batch_4,500,0.6481481481481481,0.56,0.8572799999999999
production_batch_5,318,0.547945205479452,0.5555555555555556,0.8083785004516711
